home_team,away_team,home_goals,away_goals
Bournemouth,Arsenal,1,2
Brighton & Hove Albion,Arsenal,1,1
Burnley,Arsenal,1,3
Cardiff City,Arsenal,2,3
Chelsea,Arsenal,3,2
Crystal Palace,Arsenal,2,2
Everton,Arsenal,1,0
Fulham,Arsenal,1,5
Huddersfield Town,Arsenal,1,2
Leicester City,Arsenal,3,0
Liverpool,Arsenal,5,1
Manchester City,Arsenal,3,1
Manchester United,Arsenal,2,2
Newcastle United,Arsenal,1,2
Southampton,Arsenal,3,2
Tottenham Hotspur,Arsenal,1,1
Watford,Arsenal,0,1
West Ham United,Arsenal,1,0
Wolverhampton Wanderers,Arsenal,3,1
Arsenal,Bournemouth,5,1
Brighton & Hove Albion,Bournemouth,0,5
Burnley,Bournemouth,4,0
Cardiff City,Bournemouth,2,0
Chelsea,Bournemouth,2,0
Crystal Palace,Bournemouth,5,3
Everton,Bournemouth,2,0
Fulham,Bournemouth,0,3
Huddersfield Town,Bournemouth,0,2
Leicester City,Bournemouth,2,0
Liverpool,Bournemouth,3,0
Manchester City,Bournemouth,3,1
Manchester United,Bournemouth,4,1
Newcastle United,Bournemouth,2,1
Southampton,Bournemouth,3,3
Tottenham Hotspur,Bournemouth,5,0
Watford,Bournemouth,0,4
West Ham United,Bournemouth,1,2
Wolverhampton Wanderers,Bournemouth,2,0
Arsenal,Brighton & Hove Albion,1,1
Bournemouth,Brighton & Hove Albion,2,0
Burnley,Brighton & Hove Albion,1,0
Cardiff City,Brighton & Hove Albion,2,1
Chelsea,Brighton & Hove Albion,3,0
Crystal Palace,Brighton & Hove Albion,1,2
Everton,Brighton & Hove Albion,3,1
Fulham,Brighton & Hove Albion,4,2
Huddersfield Town,Brighton & Hove Albion,1,2
Leicester City,Brighton & Hove Albion,2,1
Liverpool,Brighton & Hove Albion,1,0
Manchester City,Brighton & Hove Albion,2,0
Manchester United,Brighton & Hove Albion,2,1
Newcastle United,Brighton & Hove Albion,0,1
Southampton,Brighton & Hove Albion,2,2
Tottenham Hotspur,Brighton & Hove Albion,1,0
Watford,Brighton & Hove Albion,2,0
West Ham United,Brighton & Hove Albion,2,2
Wolverhampton Wanderers,Brighton & Hove Albion,0,0
Arsenal,Burnley,3,1
Bournemouth,Burnley,1,3
Brighton & Hove Albion,Burnley,1,3
Cardiff City,Burnley,1,2
Chelsea,Burnley,2,2
Crystal Palace,Burnley,2,0
Everton,Burnley,2,0
Fulham,Burnley,4,2
Huddersfield Town,Burnley,1,2
Leicester City,Burnley,0,0
Liverpool,Burnley,4,2
Manchester City,Burnley,5,0
Manchester United,Burnley,2,2
Newcastle United,Burnley,2,0
Southampton,Burnley,0,0
Tottenham Hotspur,Burnley,1,0
Watford,Burnley,0,0
West Ham United,Burnley,4,2
Wolverhampton Wanderers,Burnley,1,0
Arsenal,Cardiff City,2,1
Bournemouth,Cardiff City,2,0
Brighton & Hove Albion,Cardiff City,0,2
Burnley,Cardiff City,2,0
Chelsea,Cardiff City,4,1
Crystal Palace,Cardiff City,0,0
Everton,Cardiff City,1,0
Fulham,Cardiff City,1,0
Huddersfield Town,Cardiff City,0,0
Leicester City,Cardiff City,0,1
Liverpool,Cardiff City,4,1
Manchester City,Cardiff City,2,0
Manchester United,Cardiff City,0,2
Newcastle United,Cardiff City,3,0
Southampton,Cardiff City,1,2
Tottenham Hotspur,Cardiff City,1,0
Watford,Cardiff City,3,2
West Ham United,Cardiff City,3,1
Wolverhampton Wanderers,Cardiff City,2,0
Arsenal,Chelsea,2,0
Bournemouth,Chelsea,4,0
Brighton & Hove Albion,Chelsea,1,2
Burnley,Chelsea,0,4
Cardiff City,Chelsea,1,2
Crystal Palace,Chelsea,0,1
Everton,Chelsea,2,0
Fulham,Chelsea,1,2
Huddersfield Town,Chelsea,0,3
Leicester City,Chelsea,0,0
Liverpool,Chelsea,2,0
Manchester City,Chelsea,6,0
Manchester United,Chelsea,1,1
Newcastle United,Chelsea,1,2
Southampton,Chelsea,0,3
Tottenham Hotspur,Chelsea,3,1
Watford,Chelsea,1,2
West Ham United,Chelsea,0,0
Wolverhampton Wanderers,Chelsea,2,1
Arsenal,Crystal Palace,2,3
Bournemouth,Crystal Palace,2,1
Brighton & Hove Albion,Crystal Palace,3,1
Burnley,Crystal Palace,1,3
Cardiff City,Crystal Palace,2,3
Chelsea,Crystal Palace,3,1
Everton,Crystal Palace,2,0
Fulham,Crystal Palace,0,2
Huddersfield Town,Crystal Palace,0,1
Leicester City,Crystal Palace,1,4
Liverpool,Crystal Palace,4,3
Manchester City,Crystal Palace,2,3
Manchester United,Crystal Palace,0,0
Newcastle United,Crystal Palace,0,1
Southampton,Crystal Palace,1,1
Tottenham Hotspur,Crystal Palace,2,0
Watford,Crystal Palace,2,1
West Ham United,Crystal Palace,3,2
Wolverhampton Wanderers,Crystal Palace,0,2
Arsenal,Everton,2,0
Bournemouth,Everton,2,2
Brighton & Hove Albion,Everton,1,0
Burnley,Everton,1,5
Cardiff City,Everton,0,3
Chelsea,Everton,0,0
Crystal Palace,Everton,0,0
Fulham,Everton,2,0
Huddersfield Town,Everton,0,1
Leicester City,Everton,1,2
Liverpool,Everton,1,0
Manchester City,Everton,3,1
Manchester United,Everton,2,1
Newcastle United,Everton,3,2
Southampton,Everton,2,1
Tottenham Hotspur,Everton,2,2
Watford,Everton,1,0
West Ham United,Everton,0,2
Wolverhampton Wanderers,Everton,2,2
Arsenal,Fulham,4,1
Bournemouth,Fulham,0,1
Brighton & Hove Albion,Fulham,2,2
Burnley,Fulham,2,1
Cardiff City,Fulham,4,2
Chelsea,Fulham,2,0
Crystal Palace,Fulham,2,0
Everton,Fulham,3,0
Huddersfield Town,Fulham,1,0
Leicester City,Fulham,3,1
Liverpool,Fulham,2,0
Manchester City,Fulham,3,0
Manchester United,Fulham,4,1
Newcastle United,Fulham,0,0
Southampton,Fulham,2,0
Tottenham Hotspur,Fulham,3,1
Watford,Fulham,4,1
West Ham United,Fulham,3,1
Wolverhampton Wanderers,Fulham,1,0
Arsenal,Huddersfield Town,1,0
Bournemouth,Huddersfield Town,2,1
Brighton & Hove Albion,Huddersfield Town,1,0
Burnley,Huddersfield Town,1,1
Cardiff City,Huddersfield Town,0,0
Chelsea,Huddersfield Town,5,0
Crystal Palace,Huddersfield Town,2,0
Everton,Huddersfield Town,1,1
Fulham,Huddersfield Town,1,0
Leicester City,Huddersfield Town,3,1
Liverpool,Huddersfield Town,5,0
Manchester City,Huddersfield Town,6,1
Manchester United,Huddersfield Town,3,1
Newcastle United,Huddersfield Town,2,0
Southampton,Huddersfield Town,1,1
Tottenham Hotspur,Huddersfield Town,4,0
Watford,Huddersfield Town,3,0
West Ham United,Huddersfield Town,4,3
Wolverhampton Wanderers,Huddersfield Town,0,2
Arsenal,Leicester City,3,1
Bournemouth,Leicester City,4,2
Brighton & Hove Albion,Leicester City,1,1
Burnley,Leicester City,1,2
Cardiff City,Leicester City,0,1
Chelsea,Leicester City,0,1
Crystal Palace,Leicester City,1,0
Everton,Leicester City,0,1
Fulham,Leicester City,1,1
Huddersfield Town,Leicester City,1,4
Liverpool,Leicester City,1,1
Manchester City,Leicester City,1,0
Manchester United,Leicester City,2,1
Newcastle United,Leicester City,0,2
Southampton,Leicester City,1,2
Tottenham Hotspur,Leicester City,3,1
Watford,Leicester City,2,1
West Ham United,Leicester City,2,2
Wolverhampton Wanderers,Leicester City,4,3
Arsenal,Liverpool,1,1
Bournemouth,Liverpool,0,4
Brighton & Hove Albion,Liverpool,0,1
Burnley,Liverpool,1,3
Cardiff City,Liverpool,0,2
Chelsea,Liverpool,1,1
Crystal Palace,Liverpool,0,2
Everton,Liverpool,0,0
Fulham,Liverpool,1,2
Huddersfield Town,Liverpool,0,1
Leicester City,Liverpool,1,2
Manchester City,Liverpool,2,1
Manchester United,Liverpool,0,0
Newcastle United,Liverpool,2,3
Southampton,Liverpool,1,3
Tottenham Hotspur,Liverpool,1,2
Watford,Liverpool,0,3
West Ham United,Liverpool,1,1
Wolverhampton Wanderers,Liverpool,0,2
Arsenal,Manchester City,0,2
Bournemouth,Manchester City,0,1
Brighton & Hove Albion,Manchester City,1,4
Burnley,Manchester City,0,1
Cardiff City,Manchester City,0,5
Chelsea,Manchester City,2,0
Crystal Palace,Manchester City,1,3
Everton,Manchester City,0,2
Fulham,Manchester City,0,2
Huddersfield Town,Manchester City,0,3
Leicester City,Manchester City,2,1
Liverpool,Manchester City,0,0
