month,hour,weekday,temperature,humidity,windspeed,count
1,0,6,0.24,0.81,0.0,16
1,20,6,0.4,0.87,0.2537,36
1,17,0,0.34,0.57,0.194,65
1,15,1,0.26,0.3,0.2537,72
1,12,2,0.22,0.51,0.1642,78
1,9,3,0.22,0.37,0.3284,115
1,6,4,0.14,0.63,0.1045,36
1,2,5,0.2,0.69,0.2239,1
1,23,5,0.18,0.51,0.1642,15
1,19,6,0.14,0.36,0.2537,30
1,15,0,0.22,0.35,0.3582,82
1,11,1,0.16,0.47,0.2836,30
1,9,2,0.18,0.51,0.1642,130
1,7,3,0.14,0.69,0.1343,54
1,3,4,0.14,0.5,0.3284,3
1,23,4,0.12,0.5,0.194,15
1,20,5,0.18,0.59,0.0,68
1,16,6,0.34,0.34,0.194,128
1,12,0,0.24,0.41,0.2836,104
1,8,1,0.16,0.47,0.2239,33
1,16,2,0.22,0.87,0.194,61
1,13,3,0.4,0.62,0.2836,78
1,9,4,0.24,0.52,0.2239,143
1,5,5,0.24,0.6,0.4179,5
1,1,6,0.04,0.41,0.3881,12
1,22,6,0.06,0.49,0.0,30
1,19,0,0.12,0.3,0.2836,50
1,16,1,0.16,0.47,0.2537,70
1,13,2,0.26,0.56,0.1343,93
1,11,3,0.22,0.93,0.3284,41
1,6,5,0.18,0.8,0.1343,16
1,2,6,0.22,0.64,0.1642,15
1,23,6,0.16,0.8,0.0896,33
1,20,0,0.26,0.65,0.1045,33
1,16,1,0.16,0.56,0.194,86
2,13,2,0.2,0.86,0.0,52
2,9,3,0.24,0.93,0.0896,123
2,6,4,0.16,0.43,0.3582,39
2,2,5,0.14,0.63,0.1045,1
2,23,5,0.24,0.7,0.1343,31
2,19,6,0.28,0.93,0.4478,84
2,15,0,0.34,0.46,0.0896,182
2,11,1,0.3,0.65,0.0896,47
2,7,2,0.24,0.65,0.4179,100
2,3,3,0.06,0.45,0.1343,2
2,0,4,0.14,0.86,0.194,16
2,21,4,0.14,0.39,0.0,72
2,19,5,0.26,0.33,0.0,101
2,15,6,0.34,0.29,0.4179,174
2,12,0,0.36,0.32,0.4627,152
2,8,1,0.38,0.4,0.4627,256
2,5,2,0.22,0.32,0.4627,4
2,1,3,0.2,0.44,0.0896,9
2,22,3,0.34,0.53,0.194,73
2,18,4,0.54,0.42,0.2836,222
2,14,5,0.66,0.36,0.2985,191
2,10,6,0.42,0.16,0.5821,106
2,7,0,0.18,0.51,0.2537,2
2,3,1,0.34,0.42,0.2985,5
2,23,1,0.2,0.75,0.4179,2
2,1,3,0.14,0.46,0.1642,4
2,22,3,0.24,0.48,0.0,61
2,19,4,0.34,0.93,0.2985,115
2,16,5,0.32,0.49,0.4627,102
2,12,6,0.32,0.45,0.1642,160
2,9,0,0.28,0.87,0.0896,59
2,7,1,0.36,0.93,0.1045,92
3,3,2,0.22,0.69,0.2836,2
3,23,2,0.24,0.65,0.2239,25
3,19,3,0.4,0.28,0.5224,150
3,15,4,0.24,0.23,0.0,68
3,11,5,0.28,0.52,0.2239,89
3,7,6,0.3,1.0,0.2985,15
3,3,0,0.42,0.82,0.2985,11
3,0,1,0.2,1.0,0.3284,4
3,21,1,0.28,0.38,0.2239,54
3,17,2,0.36,0.27,0.2239,248
3,13,3,0.32,0.76,0.3582,99
3,11,4,0.4,0.0,0.2537,11
3,8,5,0.28,0.7,0.2537,259
3,4,6,0.24,0.65,0.2537,1
3,0,0,0.38,0.62,0.1045,38
3,21,0,0.3,0.56,0.2537,58
3,18,1,0.36,0.4,0.1045,235
3,15,2,0.38,0.43,0.2836,90
3,12,3,0.4,0.71,0.1045,88
3,8,4,0.36,0.66,0.1343,299
3,5,5,0.38,0.66,0.1642,10
3,1,6,0.58,0.46,0.3582,51
3,21,6,0.4,0.37,0.2985,93
3,17,0,0.4,0.35,0.2836,226
3,14,1,0.54,0.64,0.2239,101
3,10,2,0.44,0.54,0.2985,124
3,7,3,0.32,0.93,0.2239,118
3,3,4,0.28,1.0,0.194,1
3,23,4,0.24,0.65,0.194,33
3,19,5,0.3,0.36,0.2836,135
3,15,6,0.34,0.29,0.194,219
3,12,0,0.26,0.44,0.2239,163
3,9,1,0.22,0.32,0.2239,121
3,5,2,0.22,0.37,0.2537,8
3,1,3,0.32,0.39,0.0,10
3,21,3,0.24,0.93,0.2537,27
3,17,4,0.3,0.87,0.2537,168
4,13,5,0.36,0.5,0.3582,110
4,9,6,0.34,0.66,0.1045,87
4,5,0,0.28,0.65,0.2239,5
4,1,1,0.4,0.56,0.3582,11
4,21,1,0.7,0.3,0.4478,95
4,17,2,0.42,0.38,0.4179,273
4,13,3,0.46,0.38,0.4925,112
4,9,4,0.4,0.66,0.1343,170
4,5,5,0.32,0.87,0.194,9
4,1,6,0.3,0.87,0.1343,20
4,21,6,0.36,0.93,0.1343,75
4,17,0,0.52,0.72,0.194,236
4,14,1,0.72,0.54,0.3582,145
4,10,2,0.5,0.82,0.4179,40
4,6,3,0.38,0.94,0.2239,34
4,2,4,0.36,0.76,0.1343,3
4,22,4,0.48,0.55,0.1045,104
4,18,5,0.46,0.67,0.3881,263
4,14,6,0.52,0.83,0.5821,63
4,10,0,0.42,0.44,0.4478,211
4,6,1,0.4,0.82,0.0,54
4,2,2,0.46,0.67,0.2836,13
4,22,2,0.48,0.77,0.0896,112
4,18,3,0.74,0.3,0.3582,441
4,14,4,0.5,0.34,0.3881,228
4,10,5,0.36,0.62,0.194,136
4,6,6,0.34,1.0,0.1642,11
4,2,0,0.5,0.88,0.194,72
4,22,0,0.54,1.0,0.1642,45
4,18,1,0.68,0.57,0.3582,499
4,14,2,0.72,0.58,0.3284,155
4,10,3,0.62,0.83,0.2836,92
4,6,4,0.64,0.78,0.4627,86
4,2,5,0.46,0.63,0.1045,10
4,22,5,0.42,0.58,0.1642,146
4,18,6,0.54,0.43,0.1343,371
5,14,0,0.5,0.68,0.1045,238
5,10,1,0.54,0.77,0.2239,108
5,6,2,0.52,0.94,0.1642,109
5,2,3,0.5,0.82,0.2836,4
5,22,3,0.38,0.62,0.2239,89
5,18,4,0.56,0.26,0.2836,520
5,14,5,0.6,0.4,0.4478,213
5,10,6,0.56,0.49,0.2985,298
5,6,0,0.44,0.82,0.0,6
5,2,1,0.44,0.94,0.0,8
5,22,1,0.52,0.68,0.0896,116
5,18,2,0.64,0.29,0.1343,550
5,14,3,0.62,0.53,0.0896,177
5,10,4,0.54,0.68,0.2239,147
5,6,5,0.5,0.88,0.1343,82
5,2,6,0.5,0.88,0.1343,52
5,22,6,0.54,0.94,0.1642,26
5,18,0,0.56,0.78,0.2537,237
5,14,1,0.68,0.51,0.0,193
5,10,2,0.54,0.88,0.2537,104
5,6,3,0.52,1.0,0.1343,101
5,2,4,0.5,0.94,0.0,15
5,22,4,0.5,0.82,0.2985,79
5,18,5,0.6,0.56,0.1642,473
5,14,6,0.72,0.42,0.0,456
5,10,0,0.64,0.65,0.1343,305
5,6,1,0.54,1.0,0.0,96
5,2,2,0.6,0.94,0.194,10
5,22,2,0.62,0.88,0.2239,141
5,18,3,0.72,0.58,0.2239,517
5,14,4,0.82,0.52,0.2836,189
5,10,5,0.72,0.54,0.3881,153
5,6,6,0.58,0.83,0.2537,19
5,2,0,0.62,0.88,0.1045,61
5,22,0,0.66,0.89,0.1343,171
5,18,1,0.86,0.41,0.1642,249
5,14,2,0.9,0.37,0.0,140
6,10,3,0.76,0.75,0.2537,115
6,6,4,0.66,0.39,0.1343,113
6,2,5,0.56,0.43,0.2239,12
6,22,5,0.62,0.35,0.0,171
6,18,6,0.74,0.3,0.1642,341
6,14,0,0.7,0.58,0.1642,385
6,10,1,0.72,0.51,0.2239,95
6,6,2,0.6,0.78,0.1343,126
6,2,3,0.64,0.89,0.0896,7
6,22,3,0.76,0.75,0.1642,176
6,18,4,0.88,0.39,0.2836,466
6,14,5,0.86,0.39,0.0,165
6,10,6,0.74,0.58,0.1642,264
6,6,0,0.62,0.88,0.1045,14
6,2,1,0.62,0.73,0.2836,10
6,22,1,0.62,0.46,0.2239,134
6,18,2,0.62,0.51,0.3284,538
6,14,3,0.74,0.28,0.0,178
6,10,4,0.66,0.61,0.2537,121
6,6,5,0.56,0.94,0.0,97
6,2,6,0.6,0.88,0.0,53
6,22,6,0.72,0.62,0.1343,161
6,18,0,0.74,0.58,0.0896,296
6,14,1,0.66,0.61,0.1045,175
6,10,2,0.64,0.83,0.194,161
6,6,3,0.66,0.83,0.0,122
6,2,4,0.72,0.74,0.2239,4
6,22,4,0.7,0.74,0.2239,162
6,18,5,0.76,0.37,0.2985,452
6,14,6,0.74,0.45,0.2985,383
6,10,0,0.72,0.48,0.1045,332
6,6,1,0.62,0.78,0.1642,94
6,2,2,0.66,0.74,0.0,11
6,22,2,0.7,0.7,0.2985,134
6,18,3,0.8,0.29,0.2985,588
6,14,4,0.78,0.31,0.194,163
7,10,5,0.76,0.33,0.1642,170
7,6,6,0.62,0.69,0.1045,32
7,2,0,0.7,0.58,0.194,69
7,22,0,0.66,0.78,0.1045,162
7,18,1,0.8,0.46,0.1343,418
7,14,2,0.8,0.49,0.1642,178
7,10,3,0.7,0.79,0.0896,43
7,6,4,0.64,0.89,0.1343,118
7,2,5,0.7,0.74,0.1642,22
7,22,5,0.66,0.78,0.194,169
7,18,6,0.82,0.36,0.1045,378
7,14,0,0.82,0.41,0.3284,349
7,10,1,0.8,0.55,0.3582,117
7,6,2,0.74,0.58,0.2239,115
7,2,3,0.76,0.55,0.0,5
7,22,3,0.68,0.83,0.194,184
7,18,4,0.72,0.42,0.194,578
7,14,5,0.7,0.51,0.194,265
7,10,6,0.72,0.54,0.194,322
7,6,0,0.62,0.73,0.1642,21
7,2,1,0.66,0.83,0.2239,10
7,22,1,0.76,0.66,0.2239,140
7,18,2,0.8,0.66,0.1343,530
7,14,3,0.86,0.53,0.2239,127
7,10,4,0.82,0.71,0.2239,78
7,6,5,0.76,0.75,0.0896,96
7,2,6,0.82,0.52,0.0,61
7,22,6,0.8,0.59,0.194,125
7,18,0,0.88,0.42,0.1642,243
7,14,1,0.72,0.79,0.194,90
7,10,2,0.8,0.31,0.2239,138
7,6,3,0.7,0.54,0.2239,123
7,2,4,0.72,0.54,0.1045,7
7,22,4,0.76,0.7,0.2537,174
7,18,5,0.92,0.37,0.3284,362
7,14,6,0.9,0.29,0.0,305
7,10,0,0.84,0.36,0.1642,254
8,6,1,0.66,0.83,0.0896,100
8,2,2,0.68,0.69,0.0,8
8,22,2,0.78,0.59,0.1642,191
8,18,3,0.7,0.84,0.0,492
8,14,4,0.8,0.55,0.1642,167
8,10,5,0.74,0.55,0.1343,163
8,6,6,0.64,0.89,0.1045,27
8,2,0,0.7,0.84,0.2239,66
8,22,0,0.7,0.89,0.194,103
8,18,1,0.84,0.41,0.1343,529
8,14,2,0.86,0.44,0.2836,148
8,10,3,0.8,0.43,0.2239,113
8,6,4,0.62,0.65,0.1642,106
8,2,5,0.62,0.57,0.194,15
8,22,5,0.68,0.51,0.0,231
8,18,6,0.7,0.74,0.2239,292
8,14,0,0.74,0.7,0.194,370
8,10,1,0.68,0.69,0.2836,141
8,6,2,0.62,0.73,0.3284,119
8,2,3,0.66,0.69,0.0,6
8,22,3,0.7,0.65,0.194,171
8,18,4,0.76,0.55,0.2537,274
8,14,5,0.78,0.55,0.194,220
8,10,6,0.72,0.62,0.1045,306
8,6,0,0.66,0.89,0.2836,14
8,2,1,0.7,0.65,0.1045,8
8,22,1,0.64,0.38,0.2985,153
8,18,2,0.72,0.34,0.194,519
8,14,3,0.76,0.48,0.4179,204
8,10,4,0.74,0.66,0.2985,142
8,6,5,0.62,0.88,0.0,105
8,2,6,0.7,0.84,0.194,77
8,11,0,0.7,0.58,0.3881,237
8,7,1,0.6,0.6,0.2239,284
8,3,2,0.54,0.73,0.194,4
8,23,2,0.62,0.61,0.0,93
8,19,3,0.84,0.47,0.2537,446
