predator,prey
0.00000001,0.0001
10,10
0.0001,0.0001
0.0001,0.00000001
0.0001,0.0001
0.01,0.0001
0.01,0.0001
1,0.0001
1,0.01
1,1
100,0.0001
100,0.00000001
100,0.0001
100,1
11.5,0.0001
11.5,0.0001
11.5,1
280,0.0001
280,1
215.2,1
4.8,1
6.9,1
18.6,0.0001
18.6,1
2554.85,10
2554.85,1
2554.85,100
5104.9,6.9
5104.9,10
5104.9,1
3259.5,6.9
3259.5,10
3259.5,1
3259.5,215.2
13127,215.2
13127,4.8
13127,6.9
13127,18.6
13127,2554.85
13127,13127
13127,22994.5
13127,40
13127,10
13127,0.01
13127,1
13127,11.5
22994.5,280
22994.5,215.2
22994.5,4.8
22994.5,6.9
22994.5,18.6
22994.5,5104.9
22994.5,3259.5
22994.5,13127
22994.5,22994.5
22994.5,40
22994.5,0.01
22994.5,1
22994.5,11.5
40,280
40,215.2
40,4.8
40,18.6
40,5104.9
40,13127
40,22994.5
40,40
40,10
40,1
40,11.5
909000,280
909000,215.2
909000,4.8
909000,6.9
909000,18.6
909000,2554.85
909000,5104.9
909000,3259.5
909000,22994.5
909000,40
909000,10
909000,11.5
13012.1,280
13012.1,215.2
13012.1,4.8
13012.1,6.9
13012.1,18.6
13012.1,5104.9
13012.1,22994.5
13012.1,40
13012.1,10
13012.1,1
13012.1,11.5
68000,280
68000,18.6
68000,5104.9
68000,3259.5
68000,13127
68000,22994.5
68000,40
68000,68000
68000,10
68000,1
68000,11.5
82040.3,280
82040.3,215.2
82040.3,18.6
82040.3,2554.85
82040.3,5104.9
82040.3,3259.5
82040.3,13127
82040.3,40
82040.3,1
82040.3,11.5
26127.38,280
26127.38,215.2
26127.38,18.6
26127.38,2554.85
26127.38,5104.9
26127.38,13127
26127.38,22994.5
26127.38,40
26127.38,10
26127.38,11.5
82000,280
82000,215.2
82000,6.9
82000,18.6
82000,2554.85
82000,5104.9
82000,22994.5
82000,40
82000,1
82000,11.5
2287,280
2287,215.2
2287,4.8
2287,6.9
2287,18.6
2287,2554.85
2287,5104.9
2287,3259.5
2287,13127
2287,22994.5
2287,40
2287,13012.1
2287,2287
